,景点,城市,当月销量,优惠价,价格
0,新加坡环球影城,新加坡市,10483,310.00,390.80
1,香港迪士尼乐园,香港,34568,88.00,500.00
2,幻多奇乐园,普吉,220,229.00,268.00
3,西岛,三亚,1351,48.00,645.00
4,西蒙人妖秀中心,普吉,3390,120.00,158.00
5,珠江夜游天字码头,广州,2314,88.00,88.00
6,蜈支洲岛,三亚,9576,68.00,244.00
7,S.E.A.海洋馆,新加坡市,1154,126.00,205.00
8,澳门旅游塔,澳门,551,64.00,107.00
9,华纳兄弟电影世界,黄金海岸,327,374.00,378.00
10,水上探险乐园,新加坡市,354,151.00,196.00
11,新加坡动物园,新加坡市,1002,150.00,208.00
12,广州长隆野生动物世界,广州,6044,210.00,300.00
13,暹罗海洋世界,曼谷,861,213.00,223.00
14,日本环球影城,大阪,10077,285.00,1693.00
15,清迈夜间动物园,清迈,1321,13.00,178.00
16,横店影视城,金华,7400,88.00,897.00
17,中华恐龙园,常州,7189,100.00,235.80
18,曼谷野生动物园,曼谷,930,117.00,600.00
19,河川生态园,新加坡市,902,40.00,198.00
20,新加坡夜间野生动物园,新加坡市,1393,57.00,235.00
21,东芭乐园,芭堤雅,170,60.00,75.00
22,广州长隆欢乐世界,广州,4798,175.00,250.00
23,天目湖南山竹海,常州,2979,0.90,80.00
24,鼓浪屿,厦门,2995,0.99,159.00
25,上海野生动物园,上海,10057,0.00,163.00
26,黄金海岸海洋世界,黄金海岸,265,350.00,350.00
27,珠海长隆国际海洋度假区,珠海,269,30.00,625.00
28,菲利普岛企鹅归巢公园,墨尔本,64,42.00,87.00
29,亚龙湾热带天堂森林公园,三亚,1890,95.00,356.00
30,海南分界洲岛旅游区,陵水县,1105,63.00,138.00
31,悉尼海洋生物水族馆,悉尼,268,107.00,107.00
32,珠江夜游大沙头游船码头,广州,865,88.00,108.00
33,九华山风景区,池州,13725,50.00,160.00
34,昂坪360,香港,4471,17.80,118.00
35,知音号,武汉,1197,130.00,237.00
36,印象大红袍,南平,1778,198.00,198.00
37,三头神象,曼谷,272,28.00,56.00
38,东方明珠广播电视塔,上海,19732,35.00,193.20
39,东方盐湖城·道天下,常州,2573,53.39,128.00
40,克里普索人妖秀中心,曼谷,439,175.00,175.00
41,香港海洋公园,香港,13198,71.00,295.00
42,南山文化旅游区,三亚,6412,5.00,103.00
43,广州长隆国际大马戏,广州,4340,325.00,350.00
44,暹罗古城,曼谷,703,42.00,42.00
45,蒂芬妮人妖秀中心,芭堤雅,3292,199.00,200.00
46,加州迪士尼乐园,阿纳海姆,296,150.00,1290.00
47,Do都城,杭州,260,105.00,135.00
48,婺源,上饶,251,50.00,140.00
49,华清宫,西安,2030,6.00,108.00
50,上海迪士尼度假区,上海,84005,331.00,509.00
51,广州塔,广州,4537,75.00,322.00
52,广州长隆旅游度假区,广州,233,38.00,401.00
53,长鹿旅游休博园,佛山,2141,40.00,118.00
54,西双版纳原始森林公园,西双版纳,2805,1.00,38.00
55,武夷山风景名胜区,南平,1470,40.00,386.00
56,爱宝乐园,水原,502,78.00,200.00
57,艺术科学博物馆,新加坡市,135,86.00,109.00
58,时光之翼,新加坡市,274,83.00,129.00
59,马来西亚乐高乐园,新山,143,96.00,285.00
60,黄金海岸梦幻世界主题公园,黄金海岸,59,232.00,234.00
61,星耀樟宜,新加坡市,19,26.00,28.00
62,新加坡摩天观景轮,新加坡市,482,128.00,196.00
63,千岛湖中心湖区,杭州,2519,100.00,185.00
64,新加坡鸭子船,新加坡市,896,55.00,190.00
65,哈利法塔,迪拜,430,267.00,308.00
66,天堂农庄,黄金海岸,25,185.00,187.00
67,狂野水世界,黄金海岸,80,353.00,355.00
68,杭州宋城,杭州,4462,200.00,300.00
69,涠洲岛,北海,1205,49.00,98.00
70,新加坡国家博物馆,新加坡市,313,46.00,68.00
71,西溪国家湿地公园,杭州,5353,30.00,70.00
72,广州长隆飞鸟乐园,广州,1503,70.00,100.00
73,珠海长隆海洋王国,珠海,5406,280.00,395.00
74,腾旅e卡通,武汉,940,190.00,190.00
75,清河半岛温泉,沈阳,238,179.00,179.00
76,圣淘沙斜坡滑车及空中吊椅,新加坡市,515,147.90,147.90
77,库兰达热带雨林公园,凯恩斯,6,59.00,473.00
78,博鳌亚洲论坛成立会址,琼海市,21,25.00,25.00
79,悉尼塔,悉尼,32,78.00,102.00
80,亚龙湾海底世界,三亚,58,72.00,298.00
81,白石岭旅游景区,琼海市,405,15.00,22.70
82,印象西湖·最忆是杭州实景演出,杭州,1126,288.00,340.00
83,澳门科学馆,澳门,161,27.50,27.50
84,曼谷王权云顶大京都大厦,曼谷,225,54.00,177.00
85,尼莫海豚馆,普吉,172,48.00,105.00
86,空中花园,新加坡市,212,63.00,136.00
87,新加坡缆车,新加坡市,551,72.00,93.00
88,文笔峰盘古文化旅游区,定安县,372,23.50,30.10
89,乌镇,嘉兴,8863,55.00,150.00
90,古北水镇,北京,2366,4.00,140.00
91,八达岭长城,北京,5889,7.00,40.00
92,Q1天极点观景台,黄金海岸,130,91.00,125.00
93,盈香生态园,佛山,1436,75.00,101.20
94,东京迪士尼乐园,千叶,11006,135.00,315.00
95,悉尼杜莎夫人蜡像馆,悉尼,82,116.00,140.00
96,法拉利主题公园,阿布扎比,331,289.00,549.00
97,崇圣寺三塔文化旅游区,大理,492,0.90,73.00
98,同里古镇,苏州,12080,0.90,100.00
99,贵安欢乐世界,福州,336,90.00,162.90
100,塔龙加动物园,悉尼,284,80.00,110.00
101,金东尼人妖秀中心,曼谷,1185,58.00,158.00
102,杭州野生动物世界,杭州,8510,10.00,215.00
103,万豪温泉谷,咸宁,24,89.82,89.82
104,汤山一号温泉度假区,南京,182,80.00,111.00
105,西江千户苗寨,黔东南,946,20.00,110.00
106,西递,黄山,912,92.40,92.40
107,青岛森林野生动物世界,青岛,1157,5.00,112.30
108,珠江夜游广州塔中大码头,广州,31,88.00,88.00
109,考拉保育中心,菲利普岛,16,86.00,109.00
110,蜀风雅韵,成都,244,89.99,199.99
111,金穗园温泉,厦门,56,58.00,58.00
112,三亚南田温泉好汉坡神龙谷温泉,三亚,12,54.80,117.00
113,溱湖国家湿地公园,泰州,670,40.00,69.90
114,傣族园,西双版纳,1747,32.00,38.00
115,三亚千古情,三亚,1040,280.00,280.00
116,环球动漫嬉戏谷,常州,1066,48.90,195.00
117,新加坡国家美术馆,新加坡市,528,43.00,56.00
118,天涯海角游览区,三亚,897,24.00,66.00
119,牛鱼嘴风景区,清远,39,68.00,68.00
120,桂林两江四湖景区,桂林,994,40.00,210.00
121,曲阜三孔景区,济宁,1090,5.00,80.00
122,珠海御温泉,珠海,207,119.00,188.00
123,悉尼野生动物园,悉尼,88,120.00,139.00
124,宏村景区,黄山,3145,0.99,93.40
125,开平碉楼文化旅游区,江门,307,31.00,170.00
126,杭州乐园,杭州,1236,35.00,190.00
127,长岛旅游景区,烟台,277,2.00,129.00
128,长恨歌,西安,9003,288.00,298.00
129,印象普陀,舟山,673,70.00,129.00
130,武汉欢乐谷,武汉,6850,130.00,195.00
131,武隆天生三桥风景区,重庆,305,55.00,125.00
132,丘吉尔岛传统农场,墨尔本,20,84.00,119.00
133,诺坎普球场,巴塞罗那,77,105.00,215.00
134,滨海湾花园,新加坡市,3048,35.00,165.00
135,首尔塔,首尔,124,50.00,58.00
136,三亚亚特兰蒂斯C秀,三亚,276,190.00,281.00
137,周庄,苏州,1198,7.00,100.00
138,卢浮宫,巴黎,3218,35.00,165.00
139,名古屋乐高乐园,名古屋,1758,165.00,226.00
140,南京栖霞山,南京,223,22.39,25.00
141,银子岩,桂林,4194,30.00,65.00
142,可伦宾野生动物园,黄金海岸,179,158.00,178.00
143,太平山山顶缆车,香港,14796,29.00,65.00
144,迪拜主题公园,迪拜,42,450.00,453.00
145,炭河古城,长沙,277,55.00,55.00
146,古龙峡,清远,1986,35.00,138.00
147,真理寺,芭堤雅,1736,42.00,72.00
148,巴黎迪士尼乐园,巴黎,3727,485.00,618.00
149,亚特兰蒂斯水上冒险乐园,迪拜,139,121.00,527.00
150,芦笛岩,桂林,1282,45.00,82.00
151,淹城春秋乐园,常州,484,110.00,186.00
152,野象谷景区,西双版纳,1809,48.00,54.04
153,驼铃传奇秀,西安,558,288.00,288.00
154,荆州方特东方神画,荆州,1133,199.00,280.00
155,拈花湾,无锡,2408,74.68,138.00
156,茅山风景区,镇江,1910,44.00,95.00
157,千岛湖东南湖区,杭州,1941,100.00,185.00
158,大角湾景区,阳江,181,44.00,45.62
159,朱家尖,舟山,472,10.00,218.00
160,伯纳乌球场(皇家马德里主场),马德里,40,120.00,880.00
161,Hello Kitty乐园,湖州,1955,135.00,210.00
162,相公山,桂林,525,35.00,75.00
163,南宁方特东盟神画,南宁,855,199.00,299.00
164,亚龙湾爱琴海PADI潜水度假村,三亚,322,360.00,598.00
165,郑州方特欢乐世界,郑州,562,199.00,280.00
166,明孝陵,南京,2392,6.00,63.88
167,龙水峡地缝,重庆,173,77.50,105.00
168,普吉岛暹罗梦幻剧场,普吉,1,300.00,340.00
169,上川岛,江门,175,158.76,158.87
170,费瑟黛尔野生动物园,悉尼,14,89.00,113.00
171,重庆两江游,重庆,1853,58.00,128.00
172,沈阳海洋探索中心,沈阳,49,109.00,149.00
173,四方水上市场,芭堤雅,204,13.00,29.00
174,西湖游船,杭州,1129,27.50,70.00
175,正佳极地海洋世界,广州,2160,118.00,188.00
176,阿布扎比总统府,阿布扎比,457,69.00,89.00
177,鹭江夜游,厦门,694,55.00,89.00
178,恐龙谷温泉,常州,71,98.00,98.00
179,淹城野生动物世界,常州,1505,150.00,186.00
180,锦绣中华.中国民俗文化村,深圳,1086,49.50,206.50
181,钟山风景名胜区,南京,3484,6.00,34.20
182,三清山风景名胜区,上饶,330,4.99,245.00
183,青岛海底世界,青岛,462,2.00,170.00
184,鹿回头风景区,三亚,1612,0.00,26.82
185,武汉园博园,武汉,496,3.00,50.00
186,大小洞天,三亚,729,0.00,0.00
187,湄南河游船,曼谷,209,137.00,173.00
188,曼谷梦幻世界主题公园,曼谷,38,100.00,111.00
189,遇龙河漂流,桂林,6553,45.00,45.00
